progreso,ritmo,tipo
0,7.92952143314,3
0,6.06974560674,3
0,2.43050420672,3
0,3.01994694488,3
0,9.06306174415,3
1,0.608840165731,3
1,0.530163423412,3
1,4.33178091646,3
2,5.8918284154,3
2,6.04544726162,3
2,4.97243571694,3
2,4.96816190964,3
2,6.93499798231,3
2,6.03899768058,3
2,5.35495947235,3
2,5.03375049973,3
2,5.05671633239,3
2,5.16881989159,3
3,5.71584277352,3
3,5.92922106718,3
3,5.89185421589,3
3,5.6614495799,3
3,5.04276038799,3
3,4.64270034335,3
3,5.76334830034,3
3,6.64533492632,3
3,6.30906127909,3
4,5.81300778143,3
4,5.64967455023,3
4,5.84826874678,3
4,5.58745137186,3
4,6.01489354635,3
4,5.69426490685,3
4,6.23927235454,3
4,5.45733259962,3
4,5.46541105096,3
5,5.16101421974,3
5,5.20923596301,3
5,5.18159865842,3
5,5.51324568657,3
5,5.8706147936,3
5,6.04287934491,3
5,5.81969808292,3
5,5.48329295478,3
5,4.92729648049,3
5,4.97115710812,3
6,5.08579303525,3
6,5.11859370454,3
6,5.37313956238,3
6,5.30904667281,3
6,5.42372434539,3
6,6.07355218229,3
6,7.49197459044,3
6,6.56665979281,3
6,5.54245669126,3
6,4.92499602901,3
7,5.85526094489,3
7,5.96543534533,3
7,5.94442279609,3
7,5.73099131602,3
7,5.93761751305,3
7,6.10023296192,3
7,6.22759628059,3
7,7.8208120648,3
7,7.22626977278,3
8,6.68748911649,3
8,5.92052098936,3
8,4.8986443267,3
8,6.80669687773,3
8,3.89910920614,3
8,4.42587101822,3
8,4.55560836316,3
9,4.78567968396,3
9,6.88705459523,3
9,7.19722071236,3
9,5.58752482221,3
9,5.09763173257,3
9,4.69455720231,3
9,4.68629727501,3
9,8.39538987301,3
9,5.98068071887,3
10,6.03623531407,3
10,5.48582326882,3
10,5.65849121286,3
10,6.10244466515,3
10,5.56785776997,3
10,5.00899979863,3
10,5.68591647743,3
10,5.56075529666,3
10,5.01067379402,3
10,5.16771082372,3
11,4.27905376381,3
11,5.09820241661,3
11,6.77076692257,3
11,7.1137697518,3
11,5.87591882084,3
11,5.92011698795,3
11,7.06717000934,3
11,6.03752507915,3
11,5.29210795239,3
12,4.96111292291,3
12,5.4301405904,3
12,6.10997349619,3
12,8.81371765248,3
12,6.90727162233,3
12,5.76109979173,3
12,5.12083050689,3
12,5.40657547147,3
12,5.00403815671,3
12,5.26202355303,3
13,5.27687098027,3
13,5.88539299842,3
13,5.46828841055,3
13,5.21384846546,3
13,4.44644087313,3
13,9.81488457502,3
13,4.03242394869,3
13,4.42332243319,3
13,4.60744675667,3
13,5.44439743866,3
14,5.53458831108,3
14,5.75898261614,3
14,5.74374156812,3
14,5.58824839972,3
14,5.9964887212,3
14,6.32625811213,3
14,6.05729883801,3
14,5.07837992307,3
14,7.42764471561,3
14,7.15351261749,3
15,7.00608870613,3
15,8.52522157085,3
15,5.98114650425,3
15,5.50039798534,3
15,5.14490330733,3
15,5.54187944162,3
15,6.36790119979,3
15,10.7950247763,3
15,8.79248707068,3
16,6.10505773309,3
16,5.44164746457,3
16,4.77592086957,3
16,4.95485890706,3
16,5.07661360315,3
16,5.55327158385,3
16,4.80163192634,3
16,5.08448714948,3
16,6.38342901048,3
17,11.0617384556,3
17,6.79632615126,3
17,4.48584451428,3
17,5.76701529558,3
17,6.34912981341,3
17,6.09385971231,3
17,5.1189619951,3
17,6.29549340091,3
17,7.37604895789,3
17,6.88349367267,3
18,6.07297582682,3
18,6.53201801505,3
18,5.92571342664,3
18,6.25795838589,3
18,7.21857960079,3
18,6.18587940794,3
18,5.07888837537,3
18,5.48332613073,3
18,4.71260119429,3
19,5.31934290704,3
19,9.17593115733,3
19,6.32869627248,3
